file	recordId	recordNumber	recordIndex	byteOffset	fieldIndex	tag	sourceFieldNumber	fieldByteOffset	indicatorIndex	subfieldIndex	problemByteOffset	reportLine	message
rsl01_z00.dat	003437904	4396489	4396488	6213696760	25	Z30	40	6213701863	0		6213701870	270	"Индикатор 1 поля Z30 имеет недопустимое значение ""-""."
rsl03_z00.dat	001155276	1155463	1155462	986100248	9	260	11	986100623	0		986100630	46	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001166307	1166449	1166448	994645234	10	260	12	994645647	0		994645654	47	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001178433	1178559	1178558	1002771649	10	260	12	1002772062	0		1002772069	54	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001182217	1182343	1182342	1005271009	9	260	11	1005271455	0		1005271462	61	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001183857	1183983	1183982	1006352734	10	260	12	1006353120	0		1006353127	69	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001189384	1189506	1189505	1010067311	10	260	12	1010067955	0		1010067962	79	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001190648	1190678	1190677	1010843637	10	260	12	1010844129	0		1010844136	83	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001196370	1196400	1196399	1014668049	8	260	10	1014668480	0		1014668487	87	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001197157	1197187	1197186	1015173694	8	260	10	1015174127	0		1015174134	96	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001197230	1197260	1197259	1015220707	10	260	12	1015221120	0		1015221127	98	"Индикатор 1 поля 260 имеет недопустимое значение ""\u0001""."
rsl03_z00.dat	001200258	1200288	1200287	1017105490	12	QQ9	17	1017106151	0		1017106158	356	"Индикатор 1 поля QQ9 имеет недопустимое значение ""D""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	5	020	7	1019842797	0		1019842804	362	"Индикатор 1 поля 020 имеет недопустимое значение ""K""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	5	020	7	1019842797	1		1019842805	362	"Индикатор 2 поля 020 имеет недопустимое значение ""P""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	7	041	9	1019842872	1		1019842880	362	"Индикатор 2 поля 041 имеет недопустимое значение ""P""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	10	260	12	1019842998	0		1019843005	362	"Индикатор 1 поля 260 имеет недопустимое значение ""¸""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	10	260	12	1019842998	1		1019843006	362	"Индикатор 2 поля 260 имеет недопустимое значение ""Ñ""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	11	300	13	1019843039	0		1019843046	362	"Индикатор 1 поля 300 имеет недопустимое значение ""Ñ""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	11	300	13	1019843039	1		1019843047	362	"Индикатор 2 поля 300 имеет недопустимое значение """"."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	12	520	14	1019843074	1		1019843082	362	"Индикатор 2 поля 520 имеет недопустимое значение ""[""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	13	650	15	1019843137	0		1019843144	362	"Индикатор 1 поля 650 имеет недопустимое значение """"."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	13	650	15	1019843137	1		1019843145	362	"Индикатор 2 поля 650 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	14	650	16	1019843224	0		1019843231	362	"Индикатор 1 поля 650 имеет недопустимое значение ""°""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	14	650	16	1019843224	1		1019843232	362	"Индикатор 2 поля 650 имеет недопустимое значение ""Ñ""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	15	650	17	1019843308	0		1019843315	362	"Индикатор 1 поля 650 имеет недопустимое значение ""Ñ""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	15	650	17	1019843308	1		1019843316	362	"Индикатор 2 поля 650 имеет недопустимое значение """"."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	16	912	18	1019843387	0		1019843394	362	"Индикатор 1 поля 912 имеет недопустимое значение ""²""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	16	912	18	1019843387	1		1019843395	362	"Индикатор 2 поля 912 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	17	336	20	1019843459	0		1019843466	362	"Индикатор 1 поля 336 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	17	336	20	1019843459	1		1019843467	362	"Индикатор 2 поля 336 имеет недопустимое значение ""°""."
rsl03_z00.dat	001204621	1204651	1204650	1019842606	18	337	21	1019843490	0		1019843497	362	"Индикатор 1 поля 337 имеет недопустимое значение """"."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	5	020	7	1019843710	0		1019843717	363	"Индикатор 1 поля 020 имеет недопустимое значение ""K""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	5	020	7	1019843710	1		1019843718	363	"Индикатор 2 поля 020 имеет недопустимое значение ""P""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	7	041	9	1019843784	1		1019843792	363	"Индикатор 2 поля 041 имеет недопустимое значение ""P""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	10	260	12	1019843995	0		1019844002	363	"Индикатор 1 поля 260 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	10	260	12	1019843995	1		1019844003	363	"Индикатор 2 поля 260 имеет недопустимое значение ""µ""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	11	300	13	1019844051	0		1019844058	363	"Индикатор 1 поля 300 имеет недопустимое значение ""´""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	11	300	13	1019844051	1		1019844059	363	"Индикатор 2 поля 300 имеет недопустимое значение ""Ñ""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	12	500	14	1019844088	0		1019844095	363	"Индикатор 1 поля 500 имеет недопустимое значение ""½""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	12	500	14	1019844088	1		1019844096	363	"Индикатор 2 поля 500 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	13	520	15	1019844397	0		1019844404	363	"Индикатор 1 поля 520 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	13	520	15	1019844397	1		1019844405	363	"Индикатор 2 поля 520 имеет недопустимое значение ""½""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	14	650	16	1019844784	0		1019844791	363	"Индикатор 1 поля 650 имеет недопустимое значение ""¾""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	14	650	16	1019844784	1		1019844792	363	"Индикатор 2 поля 650 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	15	650	17	1019844848	0		1019844855	363	"Индикатор 1 поля 650 имеет недопустимое значение """"."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	16	700	18	1019844878	0		1019844885	363	"Индикатор 1 поля 700 имеет недопустимое значение ""±""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	16	700	18	1019844878	1		1019844886	363	"Индикатор 2 поля 700 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	17	710	19	1019844925	0		1019844932	363	"Индикатор 1 поля 710 имеет недопустимое значение ""Ñ""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	17	710	19	1019844925	1		1019844933	363	"Индикатор 2 поля 710 имеет недопустимое значение """"."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	18	912	20	1019844966	0		1019844973	363	"Индикатор 1 поля 912 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	18	912	20	1019844966	1		1019844974	363	"Индикатор 2 поля 912 имеет недопустимое значение ""´""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	19	336	22	1019845038	0		1019845045	363	"Индикатор 1 поля 336 имеет недопустимое значение ""½""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	19	336	22	1019845038	1		1019845046	363	"Индикатор 2 поля 336 имеет недопустимое значение ""Ñ""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	20	337	23	1019845068	0		1019845075	363	"Индикатор 1 поля 337 имеет недопустимое значение ""Ð""."
rsl03_z00.dat	001204622	1204652	1204651	1019843519	20	337	23	1019845068	1		1019845076	363	"Индикатор 2 поля 337 имеет недопустимое значение ""¢""."
