file	recordId	recordNumber	recordIndex	byteOffset	fieldIndex	tag	sourceFieldNumber	fieldByteOffset	indicatorIndex	subfieldIndex	problemByteOffset	reportLine	message
rsl01_z00.dat	000006428	5842	5841	7823886								1	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	006572685	342854	342853	468850275								2	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	006582900	345160	345159	470498927								3	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 3.
rsl01_z00.dat	006580610	351081	351080	474624168								4	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	006554973	351447	351446	474869420								5	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	006580901	352077	352076	475295049								6	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	000520990	446614	446613	580110488								9	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	000695827	609191	609190	833238968								12	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	002918571	761872	761871	1042245772								13	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	011459744	881831	881830	1182013431								14	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	001065120	1044602	1044601	1417813420								17	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	001072028	1051346	1051345	1427626842								18	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	001081589	1060559	1060558	1441231815								19	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	001098084	1076290	1076289	1464644253								20	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 2.
rsl01_z00.dat	006569843	1128709	1128708	1543235074								21	Error: Aleph-запись должна содержать ровно одно поле LDR; найдено 3.
