file	recordId	recordNumber	recordIndex	byteOffset	fieldIndex	tag	sourceFieldNumber	fieldByteOffset	indicatorIndex	subfieldIndex	problemByteOffset	reportLine	message
rsl01_z00.dat	006572532	1015172	1015171	1374185384			25	1374186924			1374186933	16	"Error: Aleph-поле содержит неподдерживаемый маркер "" ""."
rsl01_z00.dat	003825830	3488469	3488468	4894347062			14	4894347528			4894347537	104	"Error: Aleph-поле содержит неподдерживаемый маркер ""S""."
rsl01_z00.dat	006552707	6068409	6068408	8457781983			12	8457782306			8457782315	530	"Error: Aleph-поле содержит неподдерживаемый маркер ""R""."
rsl01_z00.dat	007887508	7360867	7360866	10267595482			17	10267599008			10267599017	942	"Error: Aleph-поле содержит неподдерживаемый маркер ""l""."
rsl01_z00.dat	007888441	7361826	7361825	10269337948			16	10269340525			10269340534	945	"Error: Aleph-поле содержит неподдерживаемый маркер ""l""."
rsl01_z00.dat	007893821	7366544	7366543	10277750692			16	10277753196			10277753205	953	"Error: Aleph-поле содержит неподдерживаемый маркер ""l""."
rsl01_z00.dat	007895477	7368241	7368240	10280702215			16	10280703881			10280703890	962	"Error: Aleph-поле содержит неподдерживаемый маркер ""l""."
rsl01_z00.dat	007883615	11006560	11006559	16176410783			17	16176413604			16176413613	1752	"Error: Aleph-поле содержит неподдерживаемый маркер ""l""."
rsl01_z00.dat	007895234	11134317	11134316	16410845825			17	16410850311			16410850320	1816	"Error: Aleph-поле содержит неподдерживаемый маркер ""l""."
rsl01_z00.dat	007888546	11341512	11341511	16777286973			16	16777290324			16777290333	1820	"Error: Aleph-поле содержит неподдерживаемый маркер ""l""."
rsl01_z00.dat	007893779	11341543	11341542	16777404316			16	16777405726			16777405735	1821	"Error: Aleph-поле содержит неподдерживаемый маркер ""l""."
rsl01_z00.dat	004921250	12610939	12610938	18929617424			18	18929618072			18929618081	2038	"Error: Aleph-поле содержит неподдерживаемый маркер ""a""."
rsl01_z00.dat	012979831	12647844	12647843	18989336575			66	18989344309			18989344318	2039	"Error: Aleph-поле содержит неподдерживаемый маркер "" ""."
rsl01_z00.dat	012980139	12648555	12648554	18990746366			48	18990750268			18990750277	2040	"Error: Aleph-поле содержит неподдерживаемый маркер "" ""."
rsl01_z00.dat	012980186	12648612	12648611	18990879848			49	18990884077			18990884086	2041	"Error: Aleph-поле содержит неподдерживаемый маркер "" ""."
rsl01_z00.dat	012987471	12654952	12654951	19001231147			48	19001236032			19001236041	2042	"Error: Aleph-поле содержит неподдерживаемый маркер "" ""."
