file	recordId	recordNumber	recordIndex	byteOffset	fieldIndex	tag	sourceFieldNumber	fieldByteOffset	indicatorIndex	subfieldIndex	problemByteOffset	reportLine	message
rsl03_z00.dat	000559185	559686	559685	496194120	12	250	14	496194717		0	496194729	4	"Подполе 1 поля 250 имеет недопустимый код ""D""."
rsl03_z00.dat	000579674	580138	580137	511687608	5	020	7	511687781		0	511687793	5	"Подполе 1 поля 020 имеет недопустимый код ""D""."
rsl03_z00.dat	000938235	940060	940059	807826105	13	700	15	807826727		1	807826757	32	"Подполе 2 поля 700 имеет недопустимый код """"."
rsl03_z00.dat	000938235	940060	940059	807826105	13	700	15	807826727		2	807826758	32	"Подполе 3 поля 700 имеет недопустимый код ""Ð""."
rsl03_z00.dat	000942326	944160	944159	811157909	8	100	10	811158158		0	811158170	33	"Подполе 1 поля 100 имеет недопустимый код ""Ð""."
rsl03_z00.dat	001039884	1041322	1041321	892372694	9	245	11	892372998		1	892373168	43	"Подполе 2 поля 245 имеет недопустимый код ""K""."
rsl03_z00.dat	001050142	1050322	1050321	900313841	9	245	11	900314154		1	900314280	44	"Подполе 2 поля 245 имеет недопустимый код ""B""."
rsl03_z00.dat	001144692	1144879	1144878	976963707	9	245	11	976964034		1	976964240	45	"Подполе 2 поля 245 имеет недопустимый код ""$""."
rsl03_z00.dat	001166849	1166990	1166989	995014558	11	300	13	995015047		2	995015082	49	"Подполе 3 поля 300 имеет недопустимый код "",""."
rsl03_z00.dat	001167711	1167853	1167852	995593016	10	300	12	995593391		0	995593403	50	"Подполе 1 поля 300 имеет недопустимый код "".""."
rsl03_z00.dat	001168176	1168318	1168317	995912024	11	300	13	995912533		1	995912554	51	"Подполе 2 поля 300 имеет недопустимый код ""A""."
rsl03_z00.dat	001174186	1174306	1174305	999945213	9	245	11	999945529		1	999945633	52	"Подполе 2 поля 245 имеет недопустимый код ""?""."
rsl03_z00.dat	001177359	1177488	1177487	1002061898	7	245	9	1002062121		1	1002062399	53	"Подполе 2 поля 245 имеет недопустимый код ""A""."
rsl03_z00.dat	001180763	1180889	1180888	1004319182	9	245	11	1004319464		1	1004319591	55	"Подполе 2 поля 245 имеет недопустимый код ""A""."
rsl03_z00.dat	001180904	1181030	1181029	1004411669	8	245	10	1004411919		1	1004412056	56	"Подполе 2 поля 245 имеет недопустимый код ""=""."
rsl03_z00.dat	001180909	1181035	1181034	1004414557	9	245	11	1004414842		1	1004414933	57	"Подполе 2 поля 245 имеет недопустимый код ""\u0010""."
rsl03_z00.dat	001180995	1181121	1181120	1004466653	11	300	13	1004467244		1	1004467266	58	"Подполе 2 поля 300 имеет недопустимый код ""<""."
rsl03_z00.dat	001181376	1181502	1181501	1004721154	9	260	11	1004721619		2	1004721697	59	"Подполе 3 поля 260 имеет недопустимый код ""Q""."
rsl03_z00.dat	001181849	1181975	1181974	1005029171	11	300	13	1005029586		2	1005029620	60	"Подполе 3 поля 300 имеет недопустимый код ""D""."
